timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,score,std_dev,step_size
0,1.766882_-0.740731_0.499845,0.643611179923044,,0,,,0.6500795798185086,,1.7668822799436263,-0.7407305290285628,0.499845268244361,,0.6500799523029774,2.220446049250313e-16,
197,-0.781090_-1.479795_1.058539,0.5532894352837798,,1,,,0.646414186621635,,-0.781090142728224,-1.4797951016320414,1.0585389204552749,,0.6464144002196516,2.220446049250313e-16,
401,-0.562923_-0.291780_1.875735,0.7298408932162359,,2,,,0.7520678574793545,,-0.5629227953464028,-0.2917799495378149,1.8757351592181404,,0.7520674352317231,2.220446049250313e-16,
591,-0.980075_1.766235_0.016264,0.5386245733233328,,3,,,0.6450064727492962,,-0.980075374941899,1.7662354717694646,0.016263999993641316,,0.6450068874848565,2.220446049250313e-16,
774,1.180274_-1.282386_1.021196,0.563732695490129,,4,,,0.6608690925342385,,1.1802737411213755,-1.2823855541504479,1.021195958925417,,0.6608689278647772,2.220446049250313e-16,
968,1.396125_-0.581665_1.338993,,,5,,,,,1.3961251453187424,-0.5816645254658157,1.3389925161939287,,0.661589391998807,,
969,1.396125_-0.581665_1.338993,0.5623107506296091,,,,,0.6615899747642705,,1.3961251453187424,-0.5816645254658157,1.3389925161939287,,0.661589391998807,2.220446049250313e-16,
1219,0.605736_-1.652177_0.907632,0.536777790020414,,6,,,0.6374570785309022,,0.6057357379303793,-1.652176997959933,0.9076317442696921,,0.6374567704319288,2.220446049250313e-16,
1439,0.415295_-1.239993_1.486724,0.5892224158751308,,7,,,0.6851543711040041,,0.41529526932032823,-1.2399925506351892,1.4867240206741112,,0.6851541313813176,2.220446049250313e-16,
1621,-0.667006_-1.853811_0.197199,,,8,,,,,-0.6670056229468073,-1.8538111949923546,0.19719927048130634,,0.6300923546228102,,
1622,-0.667006_-1.853811_0.197199,0.5134241621555306,,,,,0.6300919469816003,,-0.6670056229468073,-1.8538111949923546,0.19719927048130634,,0.6300923546228102,2.220446049250313e-16,
1830,1.249526_-0.715670_1.359008,0.5391802940090191,,9,,,0.6563128100656419,,1.249525602071054,-0.7156696642248286,1.3590079843316933,,0.6563050511290068,2.220446049250313e-16,
2004,-0.199704_0.435643_2.186071,0.7106777109721607,,10,,,0.7723407022526849,,-0.1997044346401538,0.43564251507488855,2.186070697228989,,0.7723401295695211,0.01048662083472307,
2229,-0.415713_-0.543271_1.504967,0.566733361762031,,11,,,0.6789086915186364,,-0.4157130606229135,-0.5432709121201892,1.5049672904667664,,0.6789053876566791,2.220446049250313e-16,
2703,-0.153841_0.419832_2.305495,,,12,,,,,-0.1538405929963975,0.4198323443171022,2.305495069264304,,0.7725617825259951,,
2704,-0.153841_0.419832_2.305495,0.6783830595263842,,,,,0.7725618829552424,,-0.1538405929963975,0.4198323443171022,2.305495069264304,,0.7725617825259951,2.220446049250313e-16,
2928,0.252652_-0.779533_1.915634,,,13,,,,,0.2526520056223313,-0.7795328751714932,1.9156337087212079,,0.7226737829599218,,
2929,0.252652_-0.779533_1.915634,0.5879896419805309,,,,,0.7226758940217501,,0.2526520056223313,-0.7795328751714932,1.9156337087212079,,0.7226737829599218,2.220446049250313e-16,
