timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,refinement_iteration,score,std_dev,step_size
0,1.371356_-1.035649_1.061703,0.6814396466089532,,0,,,0.6882882289151491,,1.3713560096055182,-1.0356491098553668,1.0617031676389665,,,0.6882886144466096,2.220446049250313e-16,
188,1.962005_0.023711_0.265281,0.47048730693298374,,1,,,0.5161094954409392,,1.9620050725837157,0.023711011532590292,0.26528076275499146,,,0.5161095810485603,2.220446049250313e-16,
362,-0.389232_1.060648_1.626015,,,2,,,,,-0.3892317706756072,1.060647544367634,1.6260151952929713,,,0.6678354502662356,,
363,-0.389232_1.060648_1.626015,0.5635671428914758,,,,,0.667835187318541,,-0.3892317706756072,1.060647544367634,1.6260151952929713,,,0.6678354502662356,2.220446049250313e-16,
524,-0.579695_-1.412060_1.323042,0.6693882944606412,,3,,,0.6967065489929019,,-0.579695311543143,-1.4120600805362373,1.3230418265235961,,,0.6967068551435459,2.220446049250313e-16,
707,0.130610_1.731445_0.951546,0.5625324982833302,,4,,,0.6955158236780371,,0.13061010385259447,1.7314448308528272,0.9515460043973903,,,0.6955164389409287,2.220446049250313e-16,
891,-0.557626_1.156609_1.507219,0.5526752609762565,,5,,,0.6674994020267191,,-0.5576260213163308,1.1566088790344977,1.5072190024311272,,,0.6675012532429045,2.220446049250313e-16,
1052,1.160109_-0.933500_1.305039,0.5731349315117752,,6,,,0.6727318069891872,,1.160108637314804,-0.9334998920828395,1.305038658856095,,,0.672729209729412,2.220446049250313e-16,
1236,0.177667_-1.538777_1.296534,0.5698155793909313,,7,,,0.6414492846372578,,0.17766690144255456,-1.5387771291070926,1.2965336166365817,,,0.6414487718784234,2.220446049250313e-16,
1407,0.670126_0.287160_1.840888,,,8,,,,,0.6701262370223642,0.2871597197365879,1.8408884055843935,,,0.7083133951345146,,
1408,0.670126_0.287160_1.840888,0.6473495617216829,,,,,0.7083132430037038,,0.6701262370223642,0.2871597197365879,1.8408884055843935,,,0.7083133951345146,2.220446049250313e-16,
1614,-1.370899_0.222398_1.466824,0.5377565769003291,,9,,,0.6593190294806972,,-1.3708992985143331,0.2223983480071699,1.4668244912519666,,,0.6593190174169448,2.220446049250313e-16,
1772,0.221740_-0.044325_2.170827,0.6710296157723975,,10,,,0.7490556447151693,,0.22173975752509986,-0.04432533224450598,2.17082747979406,,,0.7490563962568457,2.220446049250313e-16,
1988,-0.071515_0.482846_2.594261,,,11,,,,,-0.0715146750576274,0.48284555572903964,2.5942611308970682,,,0.7091063286666908,,
1989,-0.071515_0.482846_2.594261,0.6061655810943702,,,,,0.7091055240721423,,-0.0715146750576274,0.48284555572903964,2.5942611308970682,,,0.7091063286666908,2.220446049250313e-16,
2181,-0.414755_-0.060783_2.176458,0.6148309475399278,,12,,,0.722837143253316,,-0.41475456178221215,-0.060783029880799144,2.1764577743341293,,,0.7228349904857176,2.220446049250313e-16,
2359,-0.600785_0.121501_1.838398,0.5804971057468791,,13,,,0.6985530769270825,,-0.600784920150087,0.1215011369876699,1.8383975897484404,,,0.6985497425741409,2.220446049250313e-16,
2533,-0.264972_0.145365_2.047047,0.592107694525518,,14,,,0.7066463264303593,,-0.26497172640073957,0.14536460792388697,2.0470466254007187,,,0.7066244148169086,2.220446049250313e-16,
2745,-0.555952_0.281961_0.824276,0.4141574390281346,,15,,,0.5262040469119014,,-0.5559516070132896,0.28196086945187954,0.8242758408011763,,,0.5262020678997794,2.220446049250313e-16,
2929,-1.961379_-0.270908_0.000000,0.4173437678618705,,16,,,0.5772425052421983,,-1.9613792888185195,-0.2709082601061816,1.2124003311558797e-16,,,0.5772431428379587,2.220446049250313e-16,
3094,-1.716542_-0.986855_0.000000,0.49299778718141596,,17,,,0.6877718839996543,,-1.7165419412876473,-0.9868554928663245,1.2124003311558797e-16,,,0.6877727809457104,2.220446049250313e-16,
3285,-1.317286_-1.531391_0.000000,0.47006808028007674,,18,,,0.6620196141375363,,-1.3172860862199036,-1.531390664413052,1.2368932671388267e-16,,,0.6620195963709278,2.220446049250313e-16,
3450,-1.876353_-0.632219_0.000000,0.379002952820266,,19,,,0.5398710929254591,,-1.8763525915382515,-0.632219069807046,1.2124003311558797e-16,,,0.5398281773816396,2.220446049250313e-16,
3628,-1.042653_-1.683233_0.000000,0.4947528154063909,,20,,,0.7091272208840422,,-1.0426534543750794,-1.6832331312327815,1.2124003311558797e-16,,,0.7091425811252445,2.220446049250313e-16,
3798,-1.124401_-1.629761_0.000000,0.3631627701057195,,21,,,0.5259305071649578,,-1.1244012224736437,-1.6297612987489227,1.2124003311558797e-16,,,0.5245003980836097,2.220446049250313e-16,
3969,-1.825048_-0.865795_0.000000,0.4662883019323898,,22,,,0.6850794904335089,,-1.8250476925190269,-0.8657949641982079,1.2368932671388267e-16,,,0.6848973150870067,2.220446049250313e-16,
4136,-1.592120_-1.243204_0.000000,0.46667902593757293,,23,,,0.6917770382717094,,-1.5921196048630202,-1.2432035890435726,1.2368932671388267e-16,,,0.6912680651549437,2.220446049250313e-16,
4316,-1.423736_-1.376000_0.000000,0.4641055765465572,,24,,,0.693475206014682,,-1.4237355549232367,-1.3760003886799685,1.2124003311558797e-16,,,0.6941320626587348,2.220446049250313e-16,
4503,-1.803212_-0.817817_0.000000,0.4671125285763238,,25,,,0.7062425193323634,,-1.803212382846859,-0.8178172793159564,1.2124003311558797e-16,,,0.7077033483500574,2.220446049250313e-16,
4681,-1.972432_0.172947_0.000000,0.45821470641286366,,26,,,0.7006776941389035,,-1.9724323043360519,0.17294740475523984,1.2124003311558797e-16,,,0.7006365857361646,2.220446049250313e-16,
4853,-1.557699_1.286070_0.000000,0.4401377767444967,,27,,,0.6802094363409936,,-1.5576985956731773,1.2860696268234515,1.2368932671388267e-16,,,0.6802118668787518,2.220446049250313e-16,
5047,-1.653970_1.088478_0.000000,0.44029994412745305,,28,,,0.6865507998068097,,-1.6539696894411253,1.0884779586238886,1.2124003311558797e-16,,,0.6865590600244911,2.220446049250313e-16,
5214,-1.879729_0.622109_0.000000,0.3395724106301358,,29,,,0.5350642823089373,,-1.8797287557537556,0.622109158261184,1.21240033115588e-16,,,0.5350015214617704,2.220446049250313e-16,
5385,-1.495115_1.298087_0.000000,,,30,,,,,-1.4951151210975149,1.298087352478855,1.2124003311558797e-16,,,0.724167835303858,,
5386,-1.495115_1.298087_0.000000,0.4553975981218097,,,,,0.7241321874673758,,-1.4951151210975149,1.298087352478855,1.2124003311558797e-16,,,0.724167835303858,2.220446049250313e-16,
5549,-1.700577_1.014119_0.000000,0.44291041479719845,,31,,,0.7117349764416758,,-1.7005773047601378,1.0141187457762255,1.2124003311558797e-16,,,0.7131254421160975,2.220446049250313e-16,
5717,-1.971731_0.180771_0.000000,0.43986671976012814,,32,,,0.7142156851280106,,-1.971730663955858,0.1807710950793586,1.2124003311558797e-16,,,0.7274650967276279,2.220446049250313e-16,
5717,-0.486408_1.919325_0.000000,0.3305257299488162,,33,,,0.5398362055353587,,-0.48640815560415185,1.9193246484536604,1.2124003311558797e-16,,,0.5398281773816396,2.220446049250313e-16,
5909,-1.913136_0.510206_0.000000,0.4056861049818499,,34,,,0.6720407322786741,,-1.913136043992307,0.5102063084453838,1.2124003311558797e-16,,,0.6743416179638423,2.220446049250313e-16,
6094,-1.566161_1.211421_0.000000,0.4026282935256556,,35,,,0.673178394640189,,-1.5661608999497316,1.2114206682522166,1.2124003311558797e-16,,,0.672979885468627,2.220446049250313e-16,
6095,-0.389232_1.060648_1.626015,0.43064327537988717,,36,,,0.6678330393831118,,-0.3892317706756072,1.060647544367634,1.6260151952929713,,,0.6678354502662356,2.220446049250313e-16,
6095,-0.264972_0.145365_2.047047,0.45201265861415446,,41,,,0.7066616258112788,,-0.26497172640073957,0.14536460792388697,2.0470466254007187,,,0.7066244148169086,2.220446049250313e-16,
6095,-0.600785_0.121501_1.838398,0.4431311268721824,,40,,,0.6985397405365603,,-0.600784920150087,0.1215011369876699,1.8383975897484404,,,0.6985497425741409,2.220446049250313e-16,
6095,-0.557626_1.156609_1.507219,0.4218487604263271,,37,,,0.6675044186589503,,-0.5576260213163308,1.1566088790344977,1.5072190024311272,,,0.6675012532429045,2.220446049250313e-16,
6095,-1.370899_0.222398_1.466824,0.408759831718917,,38,,,0.6593194381883336,,-1.3708992985143331,0.2223983480071699,1.4668244912519666,,,0.6593190174169448,2.220446049250313e-16,
6095,-0.555952_0.281961_0.824276,0.31616035093882144,,42,,,0.5262058020793887,,-0.5559516070132896,0.28196086945187954,0.8242758408011763,,,0.5262020678997794,2.220446049250313e-16,
6095,-0.071515_0.482846_2.594261,0.45812683713453467,,39,,,0.7091004879323535,,-0.0715146750576274,0.48284555572903964,2.5942611308970682,,,0.7091063286666908,2.220446049250313e-16,
6096,0.177667_-1.538777_1.296534,0.37135104550624537,,45,,,0.6414596640534711,,0.17766690144255456,-1.5387771291070926,1.2965336166365817,,,0.6414487718784234,2.220446049250313e-16,
