index,timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,refinement_iteration,score,std_dev,step_size
28,27673,-0.436354_0.552968_1.812174,,,,,,,,-0.43635373563375196,0.5529683161085586,1.8121735108928991,,0,0.7661728078346266,,
29,27488,-0.436254_0.552868_1.812174,,,,,,,,-0.43625373563375197,0.5528683161085586,1.8121735108928991,,0,0.7663201137290743,,
30,31727,-0.787166_0.235527_1.845344,0.10353497659130757,,192,,,0.7388159080655896,,-0.7871664290065009,0.235527402316473,1.8453443732277202,,,0.7365218415198469,2.220446049250313e-16,
31,27325,-0.499166_0.424045_1.844759,0.13338669939072673,,170,,,0.7429296443893634,,-0.49916633179634684,0.4240448987777161,1.844758559616053,,,0.743162683091006,2.220446049250313e-16,
32,26932,-0.436354_0.552868_1.812174,0.14079241049408803,,168,,,0.763021752101622,,-0.43635373563375196,0.5528683161085586,1.8121735108928991,,,0.7650424190636769,2.220446049250313e-16,
33,26741,-0.500469_0.513208_1.826704,0.1341760308844284,,167,,,0.7242781848653976,,-0.5004694635599842,0.5132075938522813,1.8267035705533472,,,0.7022412786569636,2.220446049250313e-16,
34,26740,-0.521320_0.533919_1.765249,0.14048529692491304,,166,,,0.7507905074837709,,-0.5213203065843416,0.5339185272467317,1.7652490616738954,,,0.7504258146382703,2.220446049250313e-16,
35,26202,-0.619869_0.876872_1.710923,0.09624237369717221,,199,,,0.7222148004311748,,-0.6198693850550966,0.8768722468679695,1.7109228527739453,,,0.7203293765693298,2.220446049250313e-16,
36,25574,-0.751846_0.551944_1.762855,0.14862364223313526,,158,,,0.7347684934018162,,-0.7518463345345119,0.5519441870497369,1.7628550155315246,,,0.7330217529433277,2.220446049250313e-16,
37,25373,-0.539769_0.577575_1.858886,0.14439389417973697,,157,,,0.7036284229761804,,-0.5397693494139315,0.57757512308001,1.8588856948807726,,,0.7022412786569636,2.220446049250313e-16,
38,33672,-0.522098_0.799011_1.780280,0.09479202590324355,,206,,,0.7581788196130219,,-0.5220984230689809,0.7990105114313807,1.780279595808211,,,0.764333223253775,2.220446049250313e-16,
39,25371,-0.610014_0.560851_1.842207,0.15740191903348374,,156,,,0.756575649819041,,-0.610014273267572,0.5608514692420596,1.8422074301931526,,,0.7567415659736504,2.220446049250313e-16,
40,25761,-0.871916_0.512658_1.748526,0.14495648916387258,,159,,,0.7281801107019419,,-0.8719156040503057,0.5126580879918783,1.7485264837085261,,,0.7279877738007402,2.220446049250313e-16,
41,25195,-0.661432_0.638814_1.798562,0.1480794137555383,,155,,,0.7370250244130148,,-0.661432019582403,0.6388142559121559,1.79856165585574,,,0.7369774095482802,2.220446049250313e-16,
42,24298,-1.091120_1.581729_0.622890,0.13842338246849784,,150,,,0.7036794869076175,,-1.091119709381969,1.5817289096818123,0.6228895857814551,,,0.7043212465050699,2.220446049250313e-16,
43,23958,-1.382619_1.286802_0.716174,0.14234898949058475,,146,,,0.6938581099244843,,-1.3826185673205864,1.2868022318341166,0.716174499299651,,,0.6938140177356896,2.220446049250313e-16,
44,23429,-0.620595_1.547011_1.068653,0.14985984828107338,,143,,,0.6922392289798154,,-0.62059542818409,1.5470107210037465,1.0686529575201078,,,0.6931504681203344,2.220446049250313e-16,
45,23249,-0.925569_1.500852_0.900648,0.15259214616109368,,142,,,0.7051577214929914,,-0.9255688561234585,1.5008515198787873,0.9006481043403393,,,0.705182847228863,2.220446049250313e-16,
46,22886,-0.346500_1.621900_1.081564,0.14992732159219108,,140,,,0.6707308960888554,,-0.3465000260636848,1.621899510230765,1.0815635490580615,,,0.6706440287961203,2.220446049250313e-16,
