obj_000003,obj_000029,obj_000019,obj_000004,obj_000030,obj_000023,obj_000022,obj_000032,obj_000028,obj_000020
12,30,12,12,21,21,21,12,27,12
15,21,15,12,27,18,24,12,39,18
12,33,12,12,18,24,24,12,42,12
15,21,30,15,15,18,21,15,42,15
12,21,27,12,18,39,33,12,33,12
15,21,21,15,24,18,24,21,39,15
45,36,36,36,39,63,33,21,57,21
12,24,21,12,12,21,27,12,21,12
21,30,12,21,30,60,48,48,66,12
33,15,27,66,57,45,45,45,60,39
