timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,score,std_dev,step_size
0,-1.878607_0.706544_0.049982,0.7069833224192883,,0,,,0.7140886229353219,,-1.878606781131552,0.706544412409982,0.04998159202014539,,0.7140890927960862,2.220446049250313e-16,
164,0.871322_1.085080_1.464172,0.5965751663809897,,1,,,0.7112131249498811,,0.8713215582880588,1.0850800750705998,1.4641721117229525,,0.7112132664778306,2.220446049250313e-16,
335,-0.203544_-1.213163_1.602250,0.6963833507830322,,2,,,0.7175913811841174,,-0.203543932703792,-1.2131627326997596,1.6022503086122108,,0.7175914801204538,2.220446049250313e-16,
509,-0.755101_-1.352351_1.233438,,,3,,,,,-0.7551007184837295,-1.3523510949502962,1.2334380490855998,,0.7053401003514885,,
510,-0.755101_-1.352351_1.233438,0.6550962986624316,,,,,0.705339710338559,,-0.7551007184837295,-1.3523510949502962,1.2334380490855998,,0.7053401003514885,2.220446049250313e-16,
671,0.139718_0.475563_1.916956,0.709130394067757,,4,,,0.7454882868451724,,0.13971816307434914,0.47556306316504793,1.9169555570905148,,0.7454836066045163,2.220446049250313e-16,
865,1.907957_0.238068_0.472676,0.6040760760773342,,5,,,0.7194390809794344,,1.9079573752599706,0.23806797308270633,0.47267567568405255,,0.7194393618726658,2.220446049250313e-16,
1043,1.037199_0.742824_1.566151,0.6405252163525172,,6,,,0.7221895154545077,,1.0371989755027375,0.7428244520587728,1.5661513715601234,,0.7221885919240139,2.220446049250313e-16,
1231,0.043518_1.939615_0.395473,0.5797628276541695,,7,,,0.6980583939838991,,0.043518154006231664,1.9396153337885957,0.39547253659899567,,0.6980586611718914,2.220446049250313e-16,
1382,1.737303_0.464462_0.828525,0.6089752238588175,,8,,,0.7339458447851488,,1.737302981639677,0.4644615630424235,0.8285250789457596,,0.7339449018884073,2.220446049250313e-16,
1542,-0.832106_1.262468_1.339468,0.6117902886473897,,9,,,0.7243380022977385,,-0.8321057492145539,1.2624678234817297,1.339468184316966,,0.7243383551578522,2.220446049250313e-16,
1709,-0.024364_-0.134751_1.830769,,,10,,,,,-0.024364436505032706,-0.1347505754308591,1.8307692364559482,,0.807556762207579,,
1710,-0.024364_-0.134751_1.830769,0.7234493875633667,,,,,0.8075706864238867,,-0.024364436505032706,-0.1347505754308591,1.8307692364559482,,0.807556762207579,2.220446049250313e-16,
1905,0.280819_0.985549_1.727705,,,11,,,,,0.28081898838134733,0.9855492685537556,1.7277051750981967,,0.7268237355616152,,
1906,0.280819_0.985549_1.727705,0.6081307152871652,,,,,0.7268166911527416,,0.28081898838134733,0.9855492685537556,1.7277051750981967,,0.7268237355616152,2.220446049250313e-16,
2088,1.099121_0.044249_1.201500,0.5824102492137002,,12,,,0.7078128337341063,,1.0991206170147152,0.04424938586293569,1.2014999789195961,,0.7078141943236427,2.220446049250313e-16,
2261,-0.079018_-0.516806_2.255078,0.8816889030625168,,13,,,0.7437761595801007,,-0.07901793553973274,-0.5168064230933864,2.2550783001306094,,0.7437632787230153,0.14995712507473036,
2416,0.455722_0.478955_2.498872,,,14,,,,,0.45572216597724513,0.47895544554476155,2.498872050471829,,0.7428912385405502,,
2417,0.455722_0.478955_2.498872,0.6074277178076388,,,,,0.7428935486939565,,0.45572216597724513,0.47895544554476155,2.498872050471829,,0.7428912385405502,2.220446049250313e-16,
2632,0.433242_0.187980_1.319940,0.5800316174368099,,15,,,0.7069646459597081,,0.43324192155327784,0.1879801001827032,1.319940469300628,,0.706970937788872,2.220446049250313e-16,
2685,0.000000_0.000000_2.001250,,0,,1,3,,0,,,,2.00125,,,0.00125
2733,0.000000_0.000000_2.001250,,0,,2,2,,0,,,,2.00125,,,0.0025
2784,0.000000_0.000000_1.996250,,0,,3,1,,0,,,,1.9962500000000003,,,0.005
2840,0.000000_0.000000_2.006250,,0,,4,0,,0,,,,2.00625,,,0.01
