timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,refinement_iteration,score,std_dev,step_size
0,1.766951_0.893461_0.003387,0.43848845870782904,,0,,,0.4428953409823216,,1.7669510996649347,0.8934608772385528,0.0033870690860773327,,,0.4428956746772158,2.220446049250313e-16,
121,-0.336388_-0.296439_1.967494,,,1,,,,,-0.336388276683033,-0.29643904001854937,1.9674936553473017,,,0.4289590182177355,,
122,-0.336388_-0.296439_1.967494,0.3598387389487963,,,,,0.4289588258594848,,-0.336388276683033,-0.29643904001854937,1.9674936553473017,,,0.4289590182177355,2.220446049250313e-16,
246,-1.918558_-0.487663_0.041451,0.34537811029448046,,2,,,0.4333036495601432,,-1.9185584959479702,-0.48766286987691615,0.04145145316237368,,,0.43330396918365555,2.220446049250313e-16,
374,0.626201_-1.213568_1.488464,0.36448272699235035,,3,,,0.4367781498260762,,0.6262006145992149,-1.2135682842761826,1.4884639094296268,,,0.4367783270195706,2.220446049250313e-16,
500,-0.975787_1.656801_0.472492,0.4461974582383171,,4,,,0.46907449112239036,,-0.9757871784739272,1.6568014433221216,0.47249165043588565,,,0.46907471820190627,2.220446049250313e-16,
639,-1.432888_-1.423794_0.006619,0.35289249221867625,,5,,,0.43861069624849786,,-1.4328877369996214,-1.423793848605699,0.006618899355349555,,,0.43861092553825926,2.220446049250313e-16,
794,-0.352723_-0.725375_1.851977,0.3406150397581292,,6,,,0.4206802368240667,,-0.3527233228537662,-0.7253749571328834,1.8519766275737568,,,0.4206800994481891,2.220446049250313e-16,
795,-0.352723_-0.725375_1.851977,0.3406150397581292,,,,,,,,-0.7253749571328834,1.8519766275737568,,,0.4206800994481891,,
933,0.562749_0.283241_1.919242,0.3617150555655622,,7,,,0.44444286353353385,,0.5627485662529914,0.28324085501039736,1.919241691198162,,,0.4444426350215488,2.220446049250313e-16,
1076,-1.543805_-0.669879_1.117287,0.3492196506978538,,8,,,0.4325576780238146,,-1.543804573187056,-0.6698790624600529,1.117286660389522,,,0.4325577492552465,2.220446049250313e-16,
1187,-1.407062_-0.070132_1.391280,0.3670062568758411,,9,,,0.4483322609844925,,-1.4070616861444434,-0.07013163787739775,1.3912796141512997,,,0.44833251290379283,2.220446049250313e-16,
1346,-0.470776_-0.161789_1.762818,,,10,,,,,-0.4707758330811815,-0.1617887020873483,1.7628176375202365,,,0.38794423880927575,,
1347,-0.470776_-0.161789_1.762818,0.3099957450877927,,,,,0.38794921700892715,,-0.4707758330811815,-0.1617887020873483,1.7628176375202365,,,0.38794423880927575,2.220446049250313e-16,
1495,0.019476_-0.044491_1.698199,0.2944394866078695,,11,,,0.3728314116217035,,0.019475874393864643,-0.04449117463228632,1.698199212113541,,,0.3728277368011037,2.220446049250313e-16,
1652,0.132363_-0.448971_2.356667,0.37287090640752923,,12,,,0.41546498256616093,,0.13236339369552516,-0.4489711437384758,2.356666739542047,,,0.4154615024584171,0.03938025455935523,
1756,0.544266_0.714598_2.585233,,,13,,,0.4526126033254451,,0.544265926042557,0.7145975648817802,2.5852327243557807,,,0.4526121864243031,,
1757,0.544266_0.714598_2.585233,0.7722420701844456,,,,,,,0.544265926042557,0.7145975648817802,2.5852327243557807,,,0.4526121864243031,0.28376592251839217,
1883,-0.360739_0.831669_1.879256,,,14,,,,,-0.36073866189520054,0.8316690896922172,1.8792561543552297,,,0.35270825867494016,,
1884,-0.360739_0.831669_1.879256,0.2782428364981428,,,,,0.3527096452306173,,-0.36073866189520054,0.8316690896922172,1.8792561543552297,,,0.35270825867494016,2.220446049250313e-16,
2018,0.022159_-0.550834_1.696998,0.3232606132616428,,15,,,0.4344965701467949,,0.02215904267032736,-0.5508340044185814,1.696997856182413,,,0.43450352917479973,2.220446049250313e-16,
2131,-0.975687_1.656801_0.472492,,,,,,,,-0.9756871784739272,1.6568014433221216,0.47249165043588565,,0,0.48534590465564886,,
2242,-0.975787_1.656901_0.472492,,,,,,,,-0.9757871784739272,1.6569014433221216,0.47249165043588565,,0,0.44748667908537426,,
2360,-0.975787_1.656801_0.472592,,,,,,,,-0.9757871784739272,1.6568014433221216,0.47259165043588564,,0,0.4721541928988544,,
2610,-1.967707_-0.220289_0.000000,0.3287211551450817,,16,,,0.43439742097678735,,-1.9677074368777414,-0.22028945243934758,1.2124003311558797e-16,,,0.43439742354593275,2.220446049250313e-16,
2762,-1.424524_-1.375184_0.000000,0.3168556482097785,,17,,,0.4429722698084948,,-1.4245240395613061,-1.3751840824820283,1.2124003311558797e-16,,,0.4429782414061605,2.220446049250313e-16,
2872,-1.939874_-0.396594_0.000000,,,18,,,,,-1.9398744533865415,-0.39659438359395116,1.2124003311558797e-16,,,0.44977841908446325,,
2873,-1.939874_-0.396594_0.000000,0.33118792790029206,,,,,0.4496830819618651,,-1.9398744533865415,-0.39659438359395116,1.2124003311558797e-16,,,0.44977841908446325,2.220446049250313e-16,
2991,-1.809700_-0.803359_0.000000,0.3068953825190377,,19,,,0.4277421861073343,,-1.809699912389168,-0.803359338713777,1.2124003311558797e-16,,,0.42773910072208643,2.220446049250313e-16,
2992,-1.714831_-0.989826_0.000000,0.3171011329043393,,20,,,0.4497225551421735,,-1.7148308542251671,-0.989825813664901,1.2124003311558797e-16,,,0.44977841908446325,2.220446049250313e-16,
3143,-0.570349_-1.896075_0.000000,0.28992182137710465,,21,,,0.4326642782985699,,-0.5703491716250026,-1.8960753736143174,1.2124003311558797e-16,,,0.4326655102387109,2.220446049250313e-16,
3144,-0.570349_-1.896075_0.000000,0.28992182137710465,,,,,,,,,,,,,,
3597,-0.943710_-1.740635_0.000000,0.27729344588923904,,22,,,0.41430008970723975,,-0.9437097577234336,-1.7406354854413308,1.2124003311558797e-16,,,0.41430085041565873,2.220446049250313e-16,
3737,-1.495029_-1.298187_0.000000,,,23,,,,,-1.4950289877565708,-1.2981865527602585,1.2124003311558797e-16,,,0.4384207631444512,,
3738,-1.495029_-1.298187_0.000000,0.2964456711014825,,,,,0.43866054413504685,,-1.4950289877565708,-1.2981865527602585,1.2124003311558797e-16,,,0.4384207631444512,2.220446049250313e-16,
3836,-1.645976_-1.100529_0.000000,0.30111555208327,,24,,,0.44645023093494274,,-1.6459760013716025,-1.1005285107205312,1.2124003311558797e-16,,,0.44626898943362414,2.220446049250313e-16,
3836,-1.927644_-0.452317_0.000000,0.297981181283835,,25,,,0.4348998030088751,,-1.9276435335767774,-0.45231671145297786,1.2124003311558797e-16,,,0.43330396918365555,2.220446049250313e-16,
3981,-1.978930_0.065080_0.000000,0.381103837585967,,26,,,0.4992324792756335,,-1.9789301654366176,0.0650799533266662,1.2124003311558797e-16,,,0.49935982395674117,2.220446049250313e-16,
4098,-1.673736_1.057832_0.000000,,,27,,,,,-1.6737357981268,1.0578319706214423,1.2124003311558797e-16,,,0.47033142470287437,,
4099,-1.673736_1.057832_0.000000,0.3374863081905332,,,,,0.4703396940401152,,-1.6737357981268,1.0578319706214423,1.2124003311558797e-16,,,0.47033142470287437,2.220446049250313e-16,
4244,-1.931389_0.436047_0.000000,0.29966073589695824,,28,,,0.40803420396468937,,-1.9313888758759363,0.43604702744393015,1.2124003311558797e-16,,,0.4079198983428395,2.220446049250313e-16,
4364,-0.954374_1.779448_0.000000,0.2942321674420612,,29,,,0.4388811763797471,,-0.954373963841845,1.7794480048286352,1.2364179984342876e-16,,,0.438878114829965,2.220446049250313e-16,
4499,-1.773374_0.880650_0.000000,0.28469692934332974,,31,,,0.4089034204771451,,-1.7733739358425493,0.8806502618374145,1.2124003311558797e-16,,,0.41020296584243354,2.220446049250313e-16,
4499,-1.769156_0.889093_0.000000,0.2883122224266771,,30,,,0.4101646861597601,,-1.7691564357805585,0.889092518097093,1.2124003311558797e-16,,,0.41020296584243354,2.220446049250313e-16,
4628,-1.756056_0.914696_0.000000,0.28053324340226804,,32,,,0.40773210528732307,,-1.7560555749549942,0.9146960247368987,1.2124003311558797e-16,,,0.40273453821572924,2.220446049250313e-16,
4758,-1.351057_1.501681_0.000000,,,33,,,,,-1.351056651163958,1.5016810331577182,1.236893267138827e-16,,,0.42819360740880186,,
4759,-1.351057_1.501681_0.000000,0.2818501550990192,,,,,0.42827537045754127,,-1.351056651163958,1.5016810331577182,1.236893267138827e-16,,,0.42819360740880186,2.220446049250313e-16,
4883,-1.645716_1.100917_0.000000,0.2960312286907526,,35,,,0.44803466784287593,,-1.6457160581761672,1.1009171884665525,1.2124003311558797e-16,,,0.44161282545049935,2.220446049250313e-16,
4883,-1.633063_1.188909_0.000000,0.2935234497431039,,34,,,0.4417525565879714,,-1.6330628714667852,1.1889094405532572,1.2368932671388267e-16,,,0.44161282545049935,2.220446049250313e-16,
4986,-1.978830_0.065080_0.000000,,,,,,,,-1.9788301654366176,0.0650799533266662,1.2124003311558797e-16,,0,0.46511375892445483,,
5104,-1.978930_0.065180_0.000000,,,,,,,,-1.9789301654366176,0.0651799533266662,1.2124003311558797e-16,,0,0.4919008040253742,,
5240,-1.978930_0.065080_0.000100,,,,,,,,-1.9789301654366176,0.0650799533266662,0.00010000000000012125,,0,0.4765373986055358,,
5357,-0.975787_1.656801_0.472492,,,36,,,,,-0.9757871784739272,1.6568014433221216,0.47249165043588565,,,0.46907471820190627,,
5358,0.626201_-1.213568_1.488464,0.2512261313276837,,38,,,0.43677878208472976,,0.6262006145992149,-1.2135682842761826,1.4884639094296268,,,0.4367783270195706,2.220446049250313e-16,
