timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,refinement_iteration,score,std_dev,step_size
0,-1.147667_1.335679_0.989556,0.8545915099570899,,0,,,0.8631802974208697,,-1.1476669150153633,1.3356791721393324,0.9895563658995414,,,0.8631808596121747,2.220446049250313e-16,
67,-1.008769_-1.604192_0.573891,0.8721571153374732,,1,,,0.8897758577811595,,-1.0087693110653344,-1.6041924423889382,0.5738911785652261,,,0.8897764479071949,2.220446049250313e-16,
139,0.362323_0.267681_1.928074,,,2,,,,,0.3623232793309942,0.26768055407979713,1.9280738995750053,,,0.8680565549213881,,
140,0.362323_0.267681_1.928074,0.7365137285815214,,,,,0.8680557715199722,,0.3623232793309942,0.26768055407979713,1.9280738995750053,,,0.8680565549213881,2.220446049250313e-16,
214,-0.441145_1.970988_0.031599,0.6946446522262097,,3,,,0.868196541547477,,-0.4411450739804487,1.9709876995400228,0.03159923993884726,,,0.8681970956502156,2.220446049250313e-16,
284,-1.221135_-1.383873_0.821051,0.8615575261249881,,4,,,0.9057305250804308,,-1.2211352281523298,-1.3838729152963227,0.8210508564483772,,,0.9057307220609196,2.220446049250313e-16,
365,0.403153_-1.162600_1.601945,0.7408145051772405,,5,,,0.8613831955674573,,0.4031533788688541,-1.1625997861767878,1.6019454080237296,,,0.8613834784144148,2.220446049250313e-16,
448,0.872746_1.668285_0.612815,0.6651168089825464,,6,,,0.8586169517419935,,0.8727456188436995,1.6682845660730443,0.612814565257389,,,0.8586172443918884,2.220446049250313e-16,
524,-0.405327_1.555013_1.223946,0.677044485254253,,7,,,0.8553942967598243,,-0.40532740979430754,1.5550134653478185,1.223945592522971,,,0.8553938247496197,2.220446049250313e-16,
601,1.710141_-0.020248_0.997702,0.6720165139165417,,8,,,0.8645167398675365,,1.710140692741605,-0.020247638998266707,0.9977017811672279,,,0.864517179708639,2.220446049250313e-16,
677,-1.018395_1.657086_0.370592,0.6692304333245511,,9,,,0.8627883584209938,,-1.0183946364342467,1.6570860805546448,0.37059153540522644,,,0.8627880669276516,2.220446049250313e-16,
754,0.481512_0.021803_1.588273,,,10,,,,,0.4815123645464085,0.021802547649481762,1.5882728290828696,,,0.8410133980614344,,
755,0.481512_0.021803_1.588273,0.6703096839384239,,,,,0.8410163806327984,,0.4815123645464085,0.021802547649481762,1.5882728290828696,,,0.8410133980614344,2.220446049250313e-16,
828,0.012467_-0.655577_2.279679,,,11,,,,,0.012467395005044861,-0.6555765124459755,2.279679011209961,,,0.881667387629884,,
829,0.012467_-0.655577_2.279679,0.7059832556238833,,,,,0.8816667578488983,,0.012467395005044861,-0.6555765124459755,2.279679011209961,,,0.881667387629884,2.220446049250313e-16,
906,0.513808_-0.156522_1.714493,0.6684797217515578,,12,,,0.8542926073547588,,0.51380814485523,-0.15652201357372186,1.7144929308906103,,,0.854294320297031,2.220446049250313e-16,
979,-0.690434_0.335055_1.805568,0.7452680992038325,,13,,,0.8725407258992175,,-0.6904336555815909,0.33505509515403403,1.8055680167501018,,,0.8725410721881482,0.03864424834372182,
1054,-0.111054_0.128616_1.898894,0.6704823251714913,,14,,,0.8679923921490509,,-0.11105374765922267,0.1286163755194397,1.8988938750745799,,,0.8679911583366829,2.220446049250313e-16,
1131,0.680054_0.168426_1.807904,,,15,,,,,0.6800537954624186,0.16842550305353868,1.8079041332424832,,,0.8664766587590774,,
1132,0.680054_0.168426_1.807904,0.646882873080406,,,,,0.8664758099821901,,0.6800537954624186,0.16842550305353868,1.8079041332424832,,,0.8664766587590774,2.220446049250313e-16,
1199,-1.221035_-1.383873_0.821051,,,,,,,,-1.2210352281523298,-1.3838729152963227,0.8210508564483772,,0,0.9057436548092643,,
1276,-1.221135_-1.383773_0.821051,,,,,,,,-1.2211352281523298,-1.3837729152963227,0.8210508564483772,,0,0.9057570732212245,,
1351,-1.221135_-1.383873_0.821151,,,,,,,,-1.2211352281523298,-1.3838729152963227,0.8211508564483772,,0,0.9057495180768226,,
1483,-1.219742_-1.381238_0.822930,,,,,,,,-1.2197419533178613,-1.3812377992658422,0.8229304580386705,,1,0.9058916359527549,,
1555,-1.219842_-1.381138_0.822930,,,,,,,,-1.2198419533178613,-1.3811377992658422,0.8229304580386705,,1,0.9058941808813654,,
1628,-1.219842_-1.381238_0.823030,,,,,,,,-1.2198419533178613,-1.3812377992658422,0.8230304580386705,,1,0.9058969761229113,,
1763,-1.975224_-0.137447_0.000000,0.6617765749881317,,17,,,0.8613832184231882,,-1.9752236468573399,-0.13744651649128956,1.2124003311558797e-16,,,0.8613834784144148,2.220446049250313e-16,
1763,-1.500414_-1.352464_0.000000,0.7048048393018959,,16,,,0.8724556507704457,,-1.5004136307038298,-1.3524640242158574,1.2368932671388267e-16,,,0.8724561506640351,2.220446049250313e-16,
1837,-0.159669_-1.973552_0.000000,0.709162319359763,,18,,,0.8508768704499983,,-0.15966923163988014,-1.973551554043504,1.2124003311558795e-16,,,0.8508775158786058,0.03594388130399628,
1902,-0.955013_-1.734460_0.000000,0.6668638347777341,,19,,,0.853346173684197,,-0.9550127422265656,-1.7344597609010406,1.2124003311558797e-16,,,0.8533456642319118,2.220446049250313e-16,
1974,-1.733084_-0.957506_0.000000,0.6747965150641848,,20,,,0.8776773643920908,,-1.733084370200573,-0.9575064311880543,1.2124003311558797e-16,,,0.8776765129293177,2.220446049250313e-16,
2048,-0.083006_-1.978259_0.000000,0.677080503417161,,21,,,0.8514318587773038,,-0.08300573714696143,-1.9782593479118682,1.2124003311558797e-16,,,0.8514351859797663,0.029533739198168707,
2120,-0.976143_-1.722656_0.000000,,,22,,,,,-0.9761433122626638,-1.7226561566153809,1.2124003311558797e-16,,,0.8537269801708769,,
2121,-0.976143_-1.722656_0.000000,0.6478016939020834,,,,,0.8537624888250619,,-0.9761433122626638,-1.7226561566153809,1.2124003311558797e-16,,,0.8537269801708769,2.220446049250313e-16,
2189,-1.844031_-0.721076_0.000000,0.65455585474258,,23,,,0.8846775465683141,,-1.8440309370474233,-0.721075518383478,1.2124003311558797e-16,,,0.8846856256098773,2.220446049250313e-16,
2264,-1.093266_-1.698578_0.000000,0.6396698135722426,,24,,,0.8586654993551264,,-1.0932664919851534,-1.6985783401134245,1.2368932671388267e-16,,,0.8586788734088815,2.220446049250313e-16,
2334,-1.747112_-0.931665_0.000000,0.6419107999387614,,25,,,0.8784781613708876,,-1.7471119426784283,-0.9316651006399284,1.2124003311558795e-16,,,0.8784697233608614,2.220446049250313e-16,
2404,-1.219742_-1.381238_0.822930,,,,,,,,-1.2197419533178613,-1.3812377992658422,0.8229304580386705,,0,0.9058850057020726,,
2475,-1.219842_-1.381138_0.822930,,,,,,,,-1.2198419533178613,-1.3811377992658422,0.8229304580386705,,0,0.9058934158800901,,
2541,-1.219842_-1.381238_0.823030,,,,,,,,-1.2198419533178613,-1.3812377992658422,0.8230304580386705,,0,0.9058989524929159,,
2685,-1.218240_1.560862_0.000000,0.5749146172680045,,26,,,0.8774977557455781,,-1.2182400075494486,1.5608623526774932,1.2124003311558797e-16,,,0.8774994588591571,2.220446049250313e-16,
2753,-0.364349_1.946189_0.000000,0.5504257054412255,,27,,,0.8690938607522907,,-0.36434861501829713,1.9461886051290733,1.2124003311558797e-16,,,0.8690908391005356,2.220446049250313e-16,
2824,-1.561571_1.217331_0.000000,0.5769888338804734,,28,,,0.8847157330798048,,-1.5615713555692534,1.2173310566421958,1.2124003311558797e-16,,,0.8847167448658335,2.220446049250313e-16,
2886,-1.772839_0.881728_0.000000,,,29,,,,,-1.7728385169697798,0.8817276182293448,1.2124003311558797e-16,,,0.8879917674372299,,
2887,-1.772839_0.881728_0.000000,0.5813499154161896,,,,,0.8879891660869093,,-1.7728385169697798,0.8817276182293448,1.2124003311558797e-16,,,0.8879917674372299,2.220446049250313e-16,
2962,-0.190302_1.970834_0.000000,,,30,,,,,-0.19030159579557301,1.9708336567649893,1.2124003311558797e-16,,,0.8680266749627794,,
2963,-0.190302_1.970834_0.000000,0.5316605752202812,,,,,0.8680237030618061,,-0.19030159579557301,1.9708336567649893,1.2124003311558797e-16,,,0.8680266749627794,2.220446049250313e-16,
