index,timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,refinement_iteration,score,std_dev,step_size
114,14151,1.583435_1.128011_0.499063,,,,,,,,1.5834353342931813,1.1280108260685284,0.49906255325663007,,7,0.921167006689748,,
115,1536,-0.368847_-1.945341_0.000000,0.5575063135176895,,19,,,0.8182694580349112,,-0.3688472539959138,-1.9453410249155993,1.2124003311558797e-16,,,0.8182647127252437,2.220446049250313e-16,
116,4349,0.856306_1.147437_1.424966,0.38719675229879635,,70,,,0.8397985758583104,,0.8563058483812047,1.1474371265786256,1.4249660819041037,,,0.8397919094996503,2.220446049250313e-16,
117,1605,-1.986474_-0.366500_0.000000,0.564260074235608,,20,,,0.8496637838302039,,-1.9864736811571133,-0.36650008740804974,1.2368932671388267e-16,,,0.8496654965346652,2.220446049250313e-16,
118,1294,-0.988921_-1.761373_0.000000,0.5717339065674757,,16,,,0.8245807234364495,,-0.9889212069713128,-1.7613730003614798,1.2368932671388267e-16,,,0.8245825939564865,2.220446049250313e-16,
119,22799,1.215063_1.563337_0.000000,0.11549355677836691,,199,,,0.8865683411684699,,1.2150627556706324,1.5633369757611728,1.2124003311558797e-16,,,0.8870359516735967,2.220446049250313e-16,
120,6784,1.082204_1.471805_0.861989,0.28948965845277586,,102,,,0.8462444852384543,,1.0822040169315503,1.4718047584485998,0.8619891059319,,,0.8462571166708677,2.220446049250313e-16,
121,7936,1.058089_1.442960_0.937397,0.24549213685053964,,118,,,0.8438769863169284,,1.0580892769138694,1.4429599316735149,0.9373973104637383,,,0.843779281096413,2.220446049250313e-16,
122,236,1.206546_1.566987_0.095916,0.49999040414649576,,52,,,0.8848429066335939,,1.2065455015130753,1.5669869586944216,0.09591571331209865,,,0.8848230936747362,2.220446049250313e-16,
123,22487,1.658686_0.982552_0.603117,0.13139659940087406,,189,,,0.8870437339501223,,1.6586864413621487,0.9825522984594813,0.6031171279555572,,,0.9036247589010458,2.220446049250313e-16,
124,17445,1.575743_1.110123_0.471068,,,,,,,,1.57574266655307,1.1101226561238375,0.471068456035057,,18,0.9309529637134585,,
125,561,0.852151_1.786358_0.056238,0.5379683774833582,,41,,,0.8697160116678333,,0.8521507191217781,1.786358427947941,0.056238054728069295,,,0.8697463019033375,2.220446049250313e-16,
126,3974,0.437293_1.180784_1.579533,0.3945784700895721,,65,,,0.8308949878018654,,0.43729302140715093,1.1807836462251813,1.5795330937450378,,,0.8308953437810862,2.220446049250313e-16,
127,8889,1.236780_1.597115_0.000000,0.2190390953016592,,133,,,0.8735493956792197,,1.2367800154235495,1.597114646307185,1.2368932671388267e-16,,,0.8873923031636607,2.220446049250313e-16,
128,1921,-1.513776_-1.276277_0.000000,0.523506493311878,,25,,,0.8293707218117135,,-1.5137756718571431,-1.2762770918940194,1.2124003311558797e-16,,,0.8293568355296603,2.220446049250313e-16,
129,718,-1.300306_-1.375025_0.706334,0.4181766810530004,,49,,,0.8367133054155715,,-1.3003064806321325,-1.3750253825813668,0.7063343780979686,,,0.8367150468389523,2.220446049250313e-16,
130,946,1.406324_0.805679_0.437383,0.5505151500886502,,43,,,0.8716256903547901,,1.406323823602317,0.805678967616164,0.43738341611836057,,,0.8716227251697534,2.220446049250313e-16,
131,324,-1.428870_1.070444_0.944924,0.49640369422948005,,36,,,0.8423312414324755,,-1.4288695504724427,1.0704437395996735,0.9449243398730642,,,0.8423313120904701,2.220446049250313e-16,
132,15348,1.582967_1.124642_0.490689,,,,,,,,1.5829674216955798,1.1246423597977806,0.49068919455689863,,11,0.9235036861702653,,
133,9383,1.674956_1.129124_0.000000,0.20976333189849847,,140,,,0.8800527241251075,,1.6749563693972085,1.1291240678577898,1.2368932671388267e-16,,,0.8797692888653436,2.220446049250313e-16,
134,4571,0.652177_1.313742_1.388937,0.3692905318495765,,73,,,0.8312278575930907,,0.6521765489803703,1.313742424227527,1.3889372166317795,,,0.831228881091152,2.220446049250313e-16,
135,11011,1.562581_1.072406_0.699061,0.16641945101740963,,166,,,0.8961992598124198,,1.5625811521948045,1.0724057401791567,0.699060849451858,,,0.8915094090880253,2.220446049250313e-16,
136,3587,0.942702_1.358369_1.160408,0.4319411633138343,,60,,,0.838988454319292,,0.942702141919851,1.3583687216136398,1.1604081556768941,,,0.8390096888633756,2.220446049250313e-16,
137,2309,-1.926957_0.455231_0.000000,0.5205567122879986,,30,,,0.8546547652597756,,-1.9269573338046841,0.45523118708667504,1.2124003311558797e-16,,,0.8546495842283698,2.220446049250313e-16,
138,16844,1.575904_1.113879_0.475211,,,,,,,,1.5759040456886693,1.1138788891451723,0.4752108080819889,,16,0.929095473101214,,
