timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,refinement_iteration,score,std_dev,step_size
0,0.657795_-1.217802_1.471280,0.6786202339122993,,0,,,0.6854404806498147,,0.657795144044065,-1.2178015195033147,1.4712800574898939,,,0.6854408921451921,2.220446049250313e-16,
191,1.341628_1.320541_0.732534,0.5738748631880236,,1,,,0.6711179150528841,,1.3416275676738907,1.3205413773617274,0.7325339175308075,,,0.6711183563341626,2.220446049250313e-16,
375,-1.263808_-1.039807_1.184057,,,2,,,,,-1.2638076222073606,-1.039806798867672,1.1840574796348118,,,,,
376,-1.263808_-1.039807_1.184057,0.8117910493019128,,,,,0.8365137673760386,,-1.2638076222073606,-1.039806798867672,1.1840574796348118,,,0.8365144355473548,2.220446049250313e-16,
575,-0.070323_-1.159074_1.652877,0.6360934536477522,,3,,,0.7060847932797942,,-0.07032346099482957,-1.159074172539374,1.6528767871156864,,,0.7060840648818535,2.220446049250313e-16,
744,-1.111261_-1.026563_1.338531,0.7667917139649346,,4,,,0.8149203654176222,,-1.1112614146222477,-1.026563124452626,1.3385313667919114,,,0.8149186232378087,2.220446049250313e-16,
928,-0.792664_1.639824_0.776570,,,5,,,,,-0.7926642804233603,1.6398240154538122,0.7765697244174866,,,0.6811000602001547,,
929,-0.792664_1.639824_0.776570,0.5590029792878979,,,,,0.6810997867248478,,-0.7926642804233603,1.6398240154538122,0.7765697244174866,,,0.6811000602001547,2.220446049250313e-16,
1130,0.077831_1.422771_1.374796,0.5493108985690204,,6,,,0.6780392666655415,,0.07783122706947443,1.4227711981085536,1.3747961368601567,,,0.6780391030032296,2.220446049250313e-16,
1329,0.456982_0.930666_1.686840,0.5481070159322065,,7,,,0.6783534359019646,,0.4569824053619835,0.9306660251237409,1.6868395984414026,,,0.6783534737672428,2.220446049250313e-16,
1516,-1.419171_0.910041_1.112735,0.5506389675840648,,9,,,0.6711184996939401,,-1.4191711159122657,0.9100406458161,1.1127350838015986,,,0.6711183563341626,2.220446049250313e-16,
1516,0.604492_1.858867_0.315597,0.5101441120781054,,8,,,0.6668111882277381,,0.604492279273858,1.8588673594329972,0.3155966164788406,,,0.6668113731532839,2.220446049250313e-16,
1700,-0.432442_0.691075_2.239078,0.5521046322454262,,10,,,0.6876529104402853,,-0.43244246019378585,0.6910745277594238,2.2390780384527984,,,0.6876538042090652,2.220446049250313e-16,
1906,0.142262_-0.239950_1.774245,0.5489842354008422,,11,,,0.6746320279238838,,0.14226178112857682,-0.23995004868372508,1.7742453237877769,,,0.6746300598622381,2.220446049250313e-16,
2116,0.298489_0.317662_1.249126,0.48750755096482845,,12,,,0.6157493069032797,,0.298489496376759,0.317661580567322,1.249125906758727,,,0.6157477997292764,2.220446049250313e-16,
2316,-0.039478_0.181039_2.098630,0.541187118368584,,13,,,0.6864713624918416,,-0.03947821286360445,0.18103929849942793,2.0986298054745385,,,0.6864721559698223,2.220446049250313e-16,
2485,0.076003_-0.232016_2.536516,0.6225452282016926,,14,,,0.6913786736243802,,0.07600335705795698,-0.2320159550985079,2.5365160508800235,,,0.6913792050297433,0.05535451987890616,
2646,0.476360_-0.492161_3.299017,,,15,,,,,0.47636023636683905,-0.4921609183993148,3.299016924741977,,,0.7042357071477499,,
2647,0.476360_-0.492161_3.299017,0.5218912541354938,,,,,0.7042349016126868,,0.47636023636683905,-0.4921609183993148,3.299016924741977,,,0.7042357071477499,2.220446049250313e-16,
2822,-1.263708_-1.039807_1.184057,,,,,,,,-1.2637076222073607,-1.039806798867672,1.1840574796348118,,0,0.8361189362665478,,
2995,-1.263808_-1.039707_1.184057,,,,,,,,-1.2638076222073606,-1.039706798867672,1.1840574796348118,,0,0.8376289169000783,,
3170,-1.263808_-1.039807_1.184157,,,,,,,,-1.2638076222073606,-1.039806798867672,1.1841574796348118,,0,0.8374013393934829,,
3523,-1.303258_-0.928359_1.272748,,,,,,,,-1.3032575502880672,-0.9283586635953203,1.2727478642476224,,1,0.8588902446460427,,
3682,-1.303358_-0.928259_1.272748,,,,,,,,-1.3033575502880672,-0.9282586635953203,1.2727478642476224,,1,0.8635352276837265,,
3849,-1.303358_-0.928359_1.272848,,,,,,,,-1.3033575502880672,-0.9283586635953203,1.2728478642476224,,1,0.8750262671172335,,
4189,-1.511724_-1.339810_0.000000,0.7039042499649735,,16,,,0.6992975528701112,,-1.5117242292955049,-1.3398096337020837,1.2368932671388267e-16,,,0.6992975724850721,0.09434654474887438,
4388,-0.377547_-1.943671_0.000000,,,17,,,,,-0.3775470849554918,-1.9436713196015445,1.2124003311558795e-16,,,0.6717471166298333,,
4389,-0.377547_-1.943671_0.000000,0.5145100976264356,,,,,0.6717468166859681,,-0.3775470849554918,-1.9436713196015445,1.2124003311558795e-16,,,0.6717471166298333,2.220446049250313e-16,
4582,-1.389827_-1.465872_0.000000,0.5295671167293551,,18,,,0.68218009560686,,-1.389827346533112,-1.465871736144991,1.2368932671388267e-16,,,0.6821760759449295,2.220446049250313e-16,
4779,-1.040168_-1.731604_0.000000,0.5279943718193203,,19,,,0.6912893360057657,,-1.040167705147358,-1.7316036339672194,1.2368932671388267e-16,,,0.6912967521490998,2.220446049250313e-16,
4997,-1.047818_-1.680023_0.000000,0.5069144312424223,,20,,,0.6694831434734851,,-1.0478184322968926,-1.6800227775059726,1.2124003311558797e-16,,,0.6694368727856138,2.220446049250313e-16,
5207,-1.158353_-1.605808_0.000000,0.5098918203730193,,21,,,0.6785982280354119,,-1.1583527578191846,-1.6058078616237652,1.2124003311558797e-16,,,0.6788812574322409,2.220446049250313e-16,
